商品名称,价格,描述,图片链接,购买链接
「Liyuu’s Birthday 2025～次のとびらへ５！」 ブロマイド3枚セットA,650円,「Liyuu’s Birthday 2025～次のとびらへ５！」 イベントグッズです。L判サイズ、3枚セット。,https://ec.horipro-international.com/s3/skiyaki/uploads/image/file/192542/%E3%83%96%E3%83%AD%E3%83%9E%E3%82%A4%E3%83%89%E3%82%BB%E3%83%83%E3%83%88A.jpg,未找到购买链接
Liyuu Calendar 2025（卓上）,"3,520円",A5サイズ14枚（表紙＋中面12枚＋裏表紙）1月始まり※壁掛けと卓上は別絵柄となります。＜Liyuuオフィシャルショップ特典＞・1点ご購入につき生写真1枚※壁掛け、卓上それぞれ別絵柄となります。発売日：2024年11月上旬予定,https://ec.horipro-international.com/s3/skiyaki/uploads/image/file/186504/%E5%8D%93%E4%B8%8A_%E8%A1%A8%E7%B4%99_%E5%91%8A%E7%9F%A5%E7%94%A8_.jpg,未找到购买链接
Liyuu Calendar 2025（壁掛け）,"3,740円",A2サイズ10枚（表紙＋中面6枚＋ポスターページ3枚）1月始まり※壁掛けと卓上は別絵柄となります。＜Liyuuオフィシャルショップ特典＞・1点ご購入につき生写真1枚※壁掛け、卓上それぞれ別絵柄となります。発売日：2024年11月上旬予定,https://ec.horipro-international.com/s3/skiyaki/uploads/image/file/186503/%E5%A3%81%E6%8E%9B%E3%81%91_%E8%A1%A8%E7%B4%99_%E5%91%8A%E7%9F%A5%E7%94%A8_.jpg,未找到购买链接
ジャケットキーホルダー bloomin',"1,650円",Liyuu Concert TOUR2024「My Soaring Heart」公式ライブグッズサイズ：ジャケット：50mm×50mm(約)／盤面：直径49mm(約)素材：アクリル、鉄、真鍮両面仕様,https://ec.horipro-international.com/s3/skiyaki/uploads/image/file/177341/_%E6%A0%A1%E4%BA%86_%E3%82%B8%E3%83%A3%E3%82%B1%E3%83%83%E3%83%88%E3%82%AD%E3%83%BC%E3%83%9B%E3%83%AB%E3%83%80%E3%83%BC_bloomin_.jpg,未找到购买链接
「Liyuu’s Birthday 2025～次のとびらへ５！」 ブラインドフォトカード 全6種,300円,「Liyuu’s Birthday 2025～次のとびらへ５！」 イベントグッズです。全6種ランダム仕様サイズ：5.4×8.6cm 素材：紙,https://ec.horipro-international.com/s3/skiyaki/uploads/image/file/192545/%E3%83%95%E3%82%A9%E3%83%88%E3%82%AB%E3%83%BC%E3%83%896%E7%A8%AE.jpg,未找到购买链接
Liyuu 「5th Special Day」 パンフレット,"3,000円",Liyuu 「5th Special Day」 イベントグッズ事前通販商品です。,https://ec.horipro-international.com/s3/skiyaki/uploads/image/file/197242/%E3%83%91%E3%83%B3%E3%83%95%E3%83%AC%E3%83%83%E3%83%88%E5%95%86%E5%93%81%E7%94%BB%E5%83%8F.jpg,未找到购买链接
ジャケットキーホルダー Soaring Heart,"1,650円",Liyuu Concert TOUR2024「My Soaring Heart」公式ライブグッズサイズ：ジャケット：50mm×50mm(約)／盤面：直径49mm(約)素材：アクリル、鉄、真鍮両面仕様,https://ec.horipro-international.com/s3/skiyaki/uploads/image/file/177342/_%E6%A0%A1%E4%BA%86_%E3%82%B8%E3%83%A3%E3%82%B1%E3%83%83%E3%83%88%E3%82%AD%E3%83%BC%E3%83%9B%E3%83%AB%E3%83%80%E3%83%BC_Soaring_Heart.jpg,未找到购买链接
Liyuu 「5th Special Day」 マフラータオル,"2,200円",Liyuu 「5th Special Day」 イベントグッズ事前通販商品です。サイズ：約20×110㎝素材：綿100％,https://ec.horipro-international.com/s3/skiyaki/uploads/image/file/197239/%E3%83%9E%E3%83%95%E3%83%A9%E3%83%BC%E3%82%BF%E3%82%AA%E3%83%AB.jpg,未找到购买链接
Liyuu 「5th Special Day」 Tシャツ,"3,800円",Liyuu 「5th Special Day」 イベントグッズ事前通販商品です。サイズM／身丈70cm×身幅52cm×肩幅47cm×袖丈20cm(約）L／身丈74cm×身幅55cm×肩幅50cm×袖丈22cm(約）XL／身丈78cm×身幅58cm×肩幅53cm×袖丈24cm(約）素材：綿100%,https://ec.horipro-international.com/s3/skiyaki/uploads/image/file/197240/T%E3%82%B7%E3%83%A3%E3%83%84.jpg,未找到购买链接
My Soaring Heart ショルダーバック,"4,000円",Liyuu Concert TOUR2024「My Soaring Heart」公式ライブグッズサイズ：W18×H22×マチ7.5㎝素材：ポリエステル,https://ec.horipro-international.com/s3/skiyaki/uploads/image/file/177340/_%E6%A0%A1%E4%BA%86__%E7%8F%BE%E5%9C%B0%E7%89%A9%E8%B2%A9%E3%81%AE%E3%81%BF_%E3%82%B7%E3%83%A7%E3%83%AB%E3%83%80%E3%83%BC%E3%83%90%E3%83%83%E3%82%AF.jpg,未找到购买链接
